,[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
7965,X,_,_,Y,Y,_,X,_,_,1
7966,_,_,_,_,_,_,Y,_,_,0
7967,Y,_,X,X,X,Y,Y,_,_,1
7968,Y,Y,X,X,X,Y,Y,_,_,7
7969,X,Y,_,_,Y,Y,_,X,X,3
7970,Y,_,_,_,_,_,_,_,_,4
7971,Y,_,_,_,_,_,_,_,_,4
7972,X,_,_,_,Y,_,_,_,_,2
7973,Y,_,_,_,_,X,_,_,_,4
7974,Y,_,X,_,Y,Y,X,_,X,3
7975,Y,_,Y,_,X,_,_,_,_,1
7976,Y,_,X,X,X,Y,Y,_,_,1
7977,X,_,_,_,Y,_,_,_,_,2
7978,X,Y,X,X,Y,_,Y,X,Y,5
7979,X,_,_,_,Y,_,_,_,_,2
7980,Y,_,_,_,X,_,_,_,_,2
7981,Y,X,Y,X,Y,_,_,_,X,6
7982,Y,Y,_,X,X,Y,Y,X,_,2
7983,X,Y,_,Y,X,X,Y,_,Y,7
7984,_,_,_,_,_,_,_,_,_,0
7985,X,_,Y,Y,Y,_,X,X,_,5
7986,X,Y,_,_,_,Y,_,_,_,4
7987,Y,_,_,_,X,_,_,_,_,2
7988,X,_,Y,_,Y,_,_,_,_,6
7989,Y,X,_,_,Y,Y,X,_,X,3
7990,X,_,_,X,Y,_,Y,_,_,2
7991,X,Y,_,Y,Y,X,Y,X,_,2
7992,X,_,_,_,Y,_,_,_,_,2
7993,_,_,_,_,_,_,_,_,_,0
7994,_,_,_,_,_,_,_,_,_,0
7995,X,_,_,Y,Y,_,_,_,_,5
7996,Y,Y,X,X,X,Y,Y,_,_,7
7997,Y,Y,_,X,Y,X,_,_,X,2
7998,_,_,_,_,_,_,_,_,_,0
7999,Y,_,_,_,_,_,_,_,_,4
8000,X,Y,_,Y,X,X,Y,_,Y,7
8001,_,_,_,_,_,_,_,_,_,0
8002,_,Y,Y,_,X,_,_,_,_,0
8003,_,_,_,_,_,_,_,Y,_,0
8004,X,_,_,_,Y,_,_,_,_,2
8005,X,Y,_,_,X,_,Y,_,Y,5
8006,Y,_,_,X,X,Y,Y,_,_,7
8007,X,Y,X,X,Y,_,Y,X,Y,5
8008,Y,_,_,X,X,Y,_,_,_,1
8009,_,_,_,_,_,_,_,_,_,0
8010,_,_,Y,_,_,_,_,_,_,0
8011,_,_,_,_,_,_,_,_,_,0
8012,X,_,_,_,Y,_,_,_,_,2
8013,X,Y,X,_,Y,_,Y,_,_,7
8014,_,_,_,Y,_,_,_,_,_,4
8015,Y,_,_,_,X,_,Y,_,_,3
8016,_,_,_,_,Y,X,_,_,_,0
8017,Y,X,_,X,X,Y,_,Y,_,2
8018,X,Y,X,Y,Y,X,_,X,Y,6
8019,_,_,_,_,_,_,_,_,_,0
8020,Y,_,X,_,X,_,Y,_,_,3
8021,X,Y,X,_,_,_,Y,_,Y,7
8022,Y,X,Y,Y,X,X,X,Y,_,8
8023,Y,_,Y,Y,X,_,X,_,_,1
8024,X,_,_,Y,Y,_,X,_,_,1
8025,Y,X,_,X,X,Y,_,Y,_,2
8026,_,_,_,_,_,_,_,_,_,0
8027,_,_,_,_,_,_,_,_,Y,0
8028,_,_,_,_,_,_,_,_,_,0
8029,Y,_,_,_,_,X,_,_,_,4
8030,_,_,_,_,_,_,Y,_,_,0
8031,_,X,Y,Y,X,_,X,Y,Y,5
8032,_,Y,_,_,_,_,_,_,_,4
8033,X,_,Y,_,_,Y,_,_,_,4
8034,_,_,_,_,Y,_,_,_,_,0
8035,X,_,_,Y,Y,_,_,_,_,5
8036,_,_,_,Y,X,_,_,Y,_,0
8037,X,Y,X,X,Y,_,Y,_,_,7
8038,Y,Y,X,X,X,Y,Y,X,_,8
8039,Y,Y,X,X,X,Y,Y,_,_,7
8040,Y,Y,_,X,Y,_,X,_,X,2
8041,X,Y,X,X,Y,Y,Y,X,_,8
8042,X,_,_,Y,Y,_,_,_,_,5
8043,Y,Y,X,_,X,_,Y,_,_,3
8044,X,Y,X,_,Y,Y,Y,X,_,3
8045,_,_,_,_,Y,_,_,_,_,0
8046,Y,X,_,X,X,Y,_,Y,_,2
8047,_,_,_,_,_,_,_,_,_,0
8048,_,_,_,Y,Y,X,X,Y,X,1
8049,Y,X,Y,Y,X,_,X,Y,_,5
8050,Y,_,X,_,X,_,Y,_,_,3
8051,Y,_,Y,_,X,_,X,_,_,1
8052,Y,_,X,_,X,_,Y,_,_,3
8053,X,_,_,_,Y,_,_,_,_,2
8054,Y,_,_,_,X,Y,_,_,_,6
8055,Y,X,X,X,X,Y,Y,Y,_,8
8056,X,_,_,Y,Y,_,X,_,_,1
8057,Y,X,_,_,Y,_,X,_,_,8
8058,X,Y,X,X,Y,_,Y,_,_,7
8059,Y,Y,X,X,X,Y,Y,_,_,7
8060,X,Y,X,_,Y,_,Y,_,_,7
8061,_,_,_,_,Y,_,X,_,_,0
8062,Y,X,Y,_,X,_,X,Y,_,5
8063,X,_,_,_,Y,_,_,_,_,2
8064,Y,X,X,_,Y,Y,X,Y,X,3
8065,Y,_,_,_,X,_,Y,_,_,3
8066,_,_,_,_,_,_,_,_,_,0
8067,_,_,_,_,Y,_,_,_,_,0
8068,Y,_,X,_,Y,X,_,_,_,8
8069,Y,_,X,X,Y,_,_,Y,X,1
8070,_,_,_,_,_,_,_,_,_,0
8071,_,_,_,_,Y,_,_,_,_,0
8072,Y,X,X,X,Y,Y,_,Y,X,6
8073,Y,_,X,_,Y,_,X,_,_,8
8074,X,_,Y,Y,Y,_,X,X,_,5
8075,Y,Y,_,X,X,_,Y,_,_,2
8076,X,Y,X,X,Y,_,Y,_,_,7
8077,Y,Y,_,X,X,_,Y,_,_,2
8078,Y,X,Y,X,X,Y,X,Y,_,8
8079,Y,X,X,X,X,Y,Y,Y,_,8
8080,Y,_,_,_,X,_,_,_,_,2
8081,Y,_,_,_,X,_,Y,_,_,3
8082,Y,Y,_,X,X,Y,Y,X,_,2
8083,Y,X,Y,_,X,_,X,Y,_,5
8084,X,Y,X,X,Y,_,Y,_,_,7
8085,X,_,Y,_,_,Y,_,_,_,4
8086,X,Y,Y,Y,X,_,X,_,Y,5
8087,_,_,_,_,Y,_,X,_,_,0
8088,Y,_,Y,_,X,_,X,_,_,1
8089,_,_,_,_,_,_,_,_,_,0
8090,_,_,_,_,_,_,_,_,_,0
8091,X,_,Y,Y,Y,_,X,_,_,5
8092,Y,_,_,X,X,Y,Y,_,_,7
8093,X,_,_,_,Y,_,_,_,_,2
8094,Y,X,Y,Y,X,_,X,Y,_,5
8095,_,_,_,_,Y,_,_,_,_,0
8096,_,_,_,_,_,_,_,_,_,0
8097,Y,_,_,X,X,Y,_,_,_,1
8098,X,_,_,_,Y,_,_,_,_,2
8099,Y,_,Y,_,X,_,_,_,_,1
8100,_,_,_,_,Y,_,_,_,_,0
8101,_,_,_,_,_,_,_,_,_,0
8102,_,_,_,_,_,_,_,_,_,0
8103,Y,X,Y,_,X,_,X,Y,_,5
8104,X,_,_,X,Y,_,Y,_,_,2
8105,X,Y,X,Y,Y,_,_,X,_,5
8106,Y,X,Y,Y,X,X,X,Y,_,8
8107,_,_,_,_,_,_,_,_,_,0
8108,X,Y,X,X,Y,_,Y,X,Y,5
8109,X,Y,_,_,Y,_,_,_,_,7
8110,Y,_,_,_,X,_,Y,_,_,3
8111,X,Y,X,X,Y,_,Y,X,Y,5
8112,X,_,Y,_,_,_,_,_,Y,6
8113,_,_,X,_,Y,_,_,_,_,0
8114,X,_,_,_,Y,_,_,_,_,2
8115,Y,_,X,_,Y,_,X,_,_,8
8116,Y,X,X,X,X,Y,Y,Y,_,8
8117,_,Y,Y,X,X,_,_,_,Y,0
8118,X,_,Y,Y,Y,X,X,Y,_,1
8119,Y,_,_,_,X,_,_,_,_,2
8120,Y,Y,_,_,X,_,_,_,_,2
8121,X,_,Y,_,Y,_,_,_,_,6
8122,Y,Y,_,X,Y,_,X,_,X,2
8123,Y,X,X,X,X,Y,Y,Y,_,8
8124,X,_,Y,_,Y,_,_,_,_,6
8125,X,Y,X,X,Y,_,Y,_,_,7
8126,Y,_,_,_,_,_,_,_,_,4
8127,Y,_,_,X,Y,_,X,_,_,8
8128,X,Y,X,_,Y,_,Y,_,_,7
8129,Y,_,X,_,Y,_,X,_,_,8
8130,X,_,_,_,Y,_,_,_,_,2
8131,Y,_,X,_,Y,_,X,Y,X,1
8132,Y,Y,X,_,X,_,Y,_,_,3
8133,Y,_,_,_,_,_,_,_,_,4
8134,Y,_,X,X,X,Y,Y,_,_,1
8135,Y,_,_,_,X,_,_,_,_,2
8136,X,X,Y,Y,Y,_,X,_,_,5
8137,X,Y,Y,Y,X,_,X,_,Y,5
8138,Y,_,Y,Y,X,_,X,_,_,1
8139,X,_,Y,Y,Y,_,X,_,_,5
8140,Y,_,_,_,_,_,X,_,_,4
8141,X,_,Y,Y,Y,_,X,_,_,5
8142,X,_,Y,_,_,Y,_,_,_,4
8143,X,_,_,_,Y,_,_,_,_,2
8144,_,_,_,_,_,_,_,_,_,0
8145,Y,X,Y,Y,X,X,X,Y,_,8
8146,X,_,Y,_,Y,_,_,_,_,6
8147,X,_,_,Y,Y,_,_,_,_,5
8148,X,Y,Y,Y,Y,X,X,_,_,7
8149,Y,_,X,_,X,_,Y,_,_,3
8150,X,Y,X,_,Y,Y,_,X,_,3
8151,_,_,_,_,_,_,_,_,_,0
8152,X,Y,X,X,Y,Y,Y,X,_,8
8153,_,Y,_,_,_,_,_,_,_,4
8154,_,_,_,_,_,_,_,_,_,0
8155,X,Y,_,Y,Y,X,_,_,_,7
8156,X,_,_,_,Y,_,_,_,_,2
8157,X,Y,X,_,Y,_,_,_,_,3
8158,X,X,Y,Y,Y,X,X,_,Y,7
8159,_,_,_,_,_,_,_,_,_,0
8160,_,_,_,_,_,_,_,_,_,0
8161,Y,_,X,X,X,Y,Y,_,_,1
8162,X,_,_,Y,Y,_,X,_,_,1
8163,X,_,Y,Y,_,_,_,_,_,4
8164,Y,_,X,X,X,Y,Y,Y,_,8
8165,Y,X,_,_,Y,_,X,_,_,8
8166,Y,Y,_,X,X,Y,Y,X,_,2
8167,_,_,_,_,_,_,_,_,_,0
8168,Y,_,_,_,_,_,_,_,_,4
8169,Y,X,Y,_,X,_,X,Y,_,5
8170,X,Y,_,X,Y,_,Y,_,_,2
8171,X,Y,X,_,Y,_,_,_,_,3
8172,Y,X,Y,Y,X,_,_,_,_,6
8173,Y,X,Y,X,X,Y,X,Y,_,8
8174,X,_,Y,Y,X,_,_,_,Y,7
8175,X,Y,X,_,Y,_,_,_,_,3
8176,X,_,Y,_,Y,_,_,_,_,6
8177,_,_,_,_,Y,_,_,_,_,0
8178,Y,_,X,X,X,Y,Y,_,_,1
8179,X,Y,X,_,Y,_,Y,_,_,7
8180,Y,_,X,_,_,_,_,_,_,4
8181,X,Y,_,_,Y,_,_,_,_,7
8182,X,Y,X,X,Y,_,Y,X,Y,5
8183,_,Y,_,_,_,_,_,_,_,4
8184,_,Y,_,_,X,_,_,_,Y,3
8185,Y,Y,X,_,X,_,Y,_,_,3
8186,Y,_,_,X,X,_,Y,Y,_,5
8187,_,_,_,_,_,_,_,_,_,0
8188,X,_,_,_,Y,_,_,_,_,2
8189,X,_,Y,Y,Y,X,X,Y,_,1
8190,Y,X,Y,Y,X,_,X,Y,_,5
8191,_,_,_,_,_,_,_,_,_,0
8192,_,Y,_,_,_,_,_,_,_,4
8193,_,_,_,_,_,_,_,_,_,0
8194,Y,_,_,_,X,_,_,_,_,2
8195,_,_,_,_,_,_,_,_,_,0
8196,Y,X,Y,X,X,Y,X,Y,_,8
8197,X,_,_,_,Y,_,_,_,_,2
8198,_,_,_,_,_,_,_,_,_,0
8199,_,_,_,Y,_,_,_,_,_,4
8200,X,_,_,_,Y,_,Y,_,_,2
8201,X,_,Y,Y,Y,X,X,Y,_,1
8202,X,X,Y,Y,Y,_,X,_,_,5
8203,X,_,_,_,Y,_,_,_,_,2
8204,X,X,Y,Y,Y,X,X,_,Y,7
8205,X,_,Y,Y,Y,_,X,_,_,5
8206,X,_,_,_,Y,_,Y,_,_,2
8207,Y,_,_,_,_,_,_,_,_,4
8208,Y,_,X,_,_,_,Y,_,X,3
8209,_,Y,X,X,Y,Y,Y,X,X,0
8210,Y,_,_,X,X,Y,_,_,_,1
8211,Y,_,_,_,_,_,X,_,_,4
8212,X,_,_,Y,Y,_,_,_,_,5
8213,Y,X,_,X,X,Y,_,Y,_,2
8214,X,Y,_,Y,Y,X,X,X,Y,2
8215,_,_,_,_,_,_,_,_,_,0
8216,_,_,_,_,_,_,_,_,_,0
8217,Y,X,Y,Y,X,_,X,Y,_,5
8218,X,X,Y,Y,Y,_,X,Y,_,5
8219,Y,Y,X,X,X,Y,Y,_,_,7
8220,_,_,_,_,_,_,_,_,_,0
8221,X,Y,X,X,Y,_,Y,_,_,7
8222,Y,_,X,_,X,_,Y,_,_,3
8223,_,_,_,_,_,_,_,_,_,0
8224,X,Y,X,_,Y,_,_,_,_,3
8225,X,Y,_,_,Y,_,Y,X,_,2
8226,X,Y,_,Y,Y,X,_,_,_,7
8227,Y,_,_,_,X,_,_,_,_,2
8228,X,X,_,Y,X,Y,_,Y,Y,2
8229,X,Y,X,_,Y,_,_,_,_,3
8230,X,Y,X,X,Y,_,Y,_,_,7
8231,_,_,_,_,_,_,_,_,_,0
8232,X,Y,Y,Y,Y,X,_,X,_,6
8233,Y,_,_,_,X,_,_,_,_,2
8234,_,_,_,_,Y,_,_,_,_,0
8235,X,Y,_,Y,Y,X,X,_,_,7
8236,_,_,_,_,_,_,_,_,_,0
8237,_,_,_,_,Y,_,_,_,_,0
8238,Y,_,_,_,X,_,_,_,_,2
8239,Y,X,_,_,_,_,_,_,_,4
8240,Y,_,Y,_,X,_,_,_,_,1
8241,Y,Y,_,X,X,_,Y,_,_,2
8242,Y,_,_,_,_,_,_,_,_,4
8243,X,_,_,_,Y,_,_,_,_,2
8244,_,_,_,_,_,_,_,_,_,0
8245,X,_,_,X,Y,_,Y,_,_,2
8246,_,_,_,_,Y,_,_,_,_,0
8247,X,_,_,_,Y,_,Y,_,_,2
8248,_,_,_,_,_,_,_,_,_,0
8249,X,Y,_,_,Y,_,_,_,_,7
8250,_,_,_,_,_,_,_,_,_,0
8251,Y,Y,X,_,X,_,Y,_,_,3
8252,Y,X,Y,Y,X,_,X,Y,_,5
8253,Y,X,X,_,Y,_,_,_,_,8
8254,X,Y,X,X,Y,Y,Y,_,_,7
8255,Y,Y,X,X,X,Y,Y,X,_,8
8256,Y,_,_,X,X,Y,_,_,_,1
8257,Y,_,_,_,X,_,Y,_,_,3
8258,X,_,_,Y,Y,_,X,_,_,1
8259,_,_,_,_,_,_,_,_,_,0
8260,X,Y,X,Y,Y,_,_,X,_,5
8261,X,_,Y,Y,X,_,_,_,Y,7
8262,X,Y,X,Y,Y,_,_,X,_,5
8263,Y,_,Y,_,X,_,_,_,_,1
8264,Y,X,_,X,X,Y,Y,Y,_,8
8265,Y,_,_,_,X,_,_,_,_,2
8266,_,_,_,_,Y,_,_,_,_,0
8267,Y,_,_,_,X,_,_,_,_,2
8268,X,_,_,Y,Y,_,_,_,_,5
8269,Y,_,X,X,X,Y,Y,_,_,1
8270,_,_,X,_,Y,_,_,_,Y,0
8271,X,_,_,_,Y,_,_,_,_,2
8272,Y,_,_,_,_,_,_,_,X,6
8273,Y,X,Y,X,X,Y,X,Y,_,8
8274,X,_,_,_,Y,_,Y,_,_,2
8275,_,_,_,_,_,_,_,_,_,0
8276,X,Y,X,X,Y,_,Y,X,Y,5
8277,Y,_,_,_,_,_,_,_,_,4
8278,Y,X,Y,Y,X,X,X,Y,_,8
8279,Y,X,Y,X,X,Y,X,Y,_,8
8280,_,_,_,_,_,_,_,_,_,0
8281,X,Y,_,Y,Y,X,X,_,_,7
8282,Y,_,Y,_,X,_,_,_,_,1
8283,Y,_,_,_,X,_,_,Y,_,2
8284,Y,_,X,_,X,_,Y,_,_,3
8285,X,_,_,_,Y,_,Y,_,_,2
8286,_,_,_,_,_,_,_,_,_,0
8287,X,_,_,_,Y,_,_,_,_,2
8288,X,_,_,_,Y,_,_,_,_,2
8289,X,_,Y,_,Y,_,_,_,_,6
8290,_,_,_,_,_,_,_,_,_,0
8291,Y,X,Y,X,X,Y,X,Y,_,8
8292,Y,_,_,_,_,_,_,_,_,4
8293,_,_,_,_,_,_,_,_,_,0
8294,Y,X,_,_,X,_,_,Y,_,6
8295,X,_,_,X,Y,_,Y,_,_,2
8296,Y,_,Y,_,X,_,X,_,_,1
8297,Y,_,_,_,X,_,Y,_,_,3
8298,X,Y,Y,_,X,_,Y,X,Y,5
8299,X,_,Y,Y,Y,_,X,_,_,5
8300,Y,_,_,X,X,Y,_,_,_,1
8301,Y,_,_,_,X,_,_,_,_,2
8302,X,_,_,Y,_,_,Y,_,_,4
8303,_,_,_,_,_,_,_,_,_,0
8304,X,Y,X,Y,_,_,_,_,Y,4
8305,X,X,Y,Y,Y,X,X,_,Y,7
8306,Y,_,_,_,X,_,_,_,_,2
8307,_,Y,_,_,_,_,_,_,_,4
8308,Y,_,X,X,X,Y,Y,_,_,1
8309,Y,X,Y,X,_,Y,X,Y,X,4
8310,X,_,Y,_,Y,_,_,_,_,6
8311,Y,Y,X,X,X,Y,Y,X,_,8
8312,Y,_,_,_,X,_,_,_,_,2
8313,Y,X,_,X,Y,Y,X,Y,X,2
8314,Y,Y,_,X,X,Y,Y,X,_,2
8315,Y,_,X,_,X,_,Y,_,_,3
8316,X,Y,X,_,Y,_,_,_,_,3
8317,Y,_,_,_,X,_,_,_,_,2
8318,X,_,_,Y,Y,_,X,_,_,1
8319,X,Y,Y,Y,Y,X,X,_,_,7
8320,Y,_,_,Y,X,X,_,_,_,6
8321,_,_,_,_,Y,_,_,_,_,0
8322,X,_,Y,_,Y,_,_,_,_,6
8323,Y,Y,_,X,X,_,_,_,_,2
8324,_,_,Y,Y,X,_,_,_,_,0
8325,X,_,_,_,Y,_,_,_,_,2
8326,X,_,_,_,Y,_,_,_,_,2
8327,_,_,_,_,_,_,_,_,Y,0
8328,_,_,_,_,_,_,_,_,_,0
8329,_,_,_,X,Y,_,_,_,_,0
8330,X,_,Y,Y,Y,X,X,Y,_,1
8331,Y,X,Y,_,X,_,X,Y,_,5
8332,Y,X,_,X,X,Y,_,Y,_,2
8333,X,Y,_,_,Y,_,_,_,_,7
8334,_,_,_,_,_,_,_,_,_,0
8335,Y,_,Y,_,X,_,_,_,_,1
8336,X,_,Y,Y,Y,X,_,_,_,6
8337,Y,_,X,X,Y,_,_,_,_,8
8338,Y,_,_,_,X,_,_,_,_,2
8339,_,_,_,_,_,_,_,_,_,0
8340,_,_,_,_,Y,_,_,_,_,0
8341,Y,_,X,X,Y,_,Y,_,_,8
8342,_,_,_,_,_,_,_,_,_,0
8343,Y,_,X,_,Y,Y,X,_,X,3
8344,Y,X,Y,Y,X,_,X,Y,_,5
8345,Y,_,_,X,X,Y,_,_,_,1
8346,Y,X,Y,_,X,_,_,Y,_,3
8347,X,_,Y,Y,Y,_,X,_,_,5
8348,X,_,_,_,Y,_,Y,_,_,2
8349,X,Y,X,_,Y,_,_,_,_,3
8350,Y,X,_,X,Y,Y,X,Y,X,2
8351,Y,X,Y,Y,X,X,X,Y,_,8
8352,Y,_,_,X,X,Y,_,_,_,1
8353,Y,_,_,X,X,Y,_,_,_,1
8354,Y,X,Y,_,_,X,Y,_,X,4
8355,Y,_,_,_,X,_,_,_,_,2
8356,Y,X,_,X,X,Y,Y,Y,_,8
8357,Y,X,Y,Y,X,_,_,_,_,6
8358,X,_,_,_,Y,_,_,_,_,2
8359,Y,_,X,_,Y,_,X,_,_,8
8360,_,_,_,_,_,_,_,_,_,0
8361,Y,_,X,X,X,Y,Y,_,_,1
8362,Y,Y,X,_,X,_,Y,_,_,3
8363,X,Y,X,Y,Y,X,_,X,Y,6
8364,X,Y,X,_,Y,_,_,_,_,3
8365,Y,_,X,X,X,Y,Y,_,_,1
8366,X,_,_,_,Y,Y,_,_,_,3
8367,Y,Y,X,X,X,_,Y,_,_,5
8368,_,_,_,_,Y,_,_,_,_,0
8369,X,_,Y,Y,X,_,_,_,Y,7
8370,_,X,_,Y,Y,_,_,_,X,2
8371,_,_,_,_,Y,_,_,_,_,0
8372,X,_,_,_,Y,_,_,_,_,2
8373,_,_,Y,_,_,_,_,_,_,0
8374,Y,X,_,_,X,_,_,Y,_,6
8375,X,Y,X,Y,Y,_,_,X,_,5
8376,Y,Y,_,_,X,_,_,_,_,2
8377,Y,_,_,_,X,_,_,_,_,2
8378,Y,X,Y,Y,X,_,X,Y,_,5
8379,Y,_,_,_,X,_,_,_,_,2
8380,X,Y,X,_,Y,Y,_,X,_,3
8381,_,_,_,_,_,_,_,_,_,0
8382,_,_,_,_,Y,_,_,_,_,0
8383,_,_,_,_,_,_,_,_,_,0
8384,_,_,_,_,_,_,_,_,_,0
8385,Y,X,_,_,X,_,_,Y,_,6
8386,Y,X,_,_,X,_,_,Y,_,6
8387,Y,X,X,X,X,Y,Y,Y,_,8
8388,Y,Y,X,X,X,Y,Y,_,_,7
8389,Y,Y,X,X,X,Y,Y,_,_,7
8390,Y,_,_,_,X,_,_,_,_,2
8391,_,_,Y,_,_,_,_,_,_,0
8392,X,_,Y,Y,X,_,_,_,Y,7
8393,Y,X,_,Y,X,_,X,Y,_,2
8394,X,_,_,_,Y,_,_,_,_,2
8395,Y,_,_,_,X,_,Y,_,_,3
8396,X,_,_,_,Y,_,_,_,_,2
8397,Y,_,_,_,_,_,X,_,_,4
8398,_,_,_,_,_,_,_,_,_,0
8399,X,_,Y,_,Y,_,_,_,_,6
8400,Y,_,_,_,_,_,_,_,X,6
8401,X,Y,_,_,Y,_,Y,X,_,2
8402,X,Y,X,_,Y,_,Y,_,_,7
8403,X,Y,X,X,Y,_,Y,X,Y,5
8404,_,_,_,_,_,_,_,_,_,0
8405,Y,X,Y,Y,X,X,X,Y,_,8
8406,Y,_,Y,_,X,_,_,_,_,1
8407,_,_,_,_,_,_,_,_,_,0
8408,Y,_,X,X,X,Y,Y,_,_,1
8409,X,Y,X,Y,Y,X,_,X,Y,6
8410,_,_,_,X,Y,_,_,_,_,0
8411,Y,X,Y,_,X,_,X,Y,_,5
8412,X,Y,X,Y,Y,_,Y,X,_,5
8413,Y,_,X,_,_,_,_,_,_,4
8414,Y,Y,_,X,X,_,Y,_,_,2
8415,X,_,_,Y,Y,_,_,_,_,5
8416,Y,_,X,_,_,_,_,_,_,4
8417,Y,Y,_,_,X,_,_,X,_,2
8418,Y,X,Y,_,X,Y,_,_,_,7
8419,Y,_,_,_,X,_,_,_,_,2
8420,X,_,_,_,Y,_,_,_,_,2
8421,_,X,_,_,Y,_,_,_,_,0
8422,X,Y,_,Y,X,X,Y,_,Y,7
8423,X,_,Y,_,Y,_,_,_,_,6
8424,Y,_,_,Y,X,_,_,_,_,6
8425,Y,_,X,_,X,_,Y,_,_,3
8426,X,Y,X,_,Y,_,_,_,_,3
8427,_,_,_,_,_,_,_,_,_,0
8428,X,_,_,_,Y,_,Y,_,_,2
8429,X,Y,X,X,Y,Y,Y,X,_,8
8430,Y,_,_,_,_,_,_,_,_,4
8431,X,Y,X,Y,Y,X,_,X,Y,6
8432,_,_,X,_,Y,_,_,_,_,0
8433,X,_,_,_,Y,_,_,_,_,2
8434,X,Y,_,X,Y,Y,Y,X,_,2
8435,_,_,_,_,_,_,_,_,_,0
8436,X,Y,X,_,Y,Y,Y,X,_,3
8437,Y,_,_,_,_,_,_,_,_,4
8438,Y,_,_,_,_,_,X,_,_,4
8439,_,_,_,_,Y,_,_,_,_,0
8440,Y,_,X,_,X,_,Y,_,_,3
8441,X,_,Y,Y,Y,_,X,_,_,5
8442,Y,_,_,X,_,_,_,_,_,4
8443,Y,X,Y,_,X,_,X,Y,_,5
8444,Y,_,_,_,_,_,_,_,_,4
8445,X,Y,Y,_,X,_,Y,X,Y,5
8446,X,_,_,Y,X,_,Y,_,Y,1
8447,Y,_,_,_,_,_,_,_,_,4
8448,Y,_,_,_,_,X,_,_,_,4
8449,X,Y,_,_,Y,_,Y,X,_,2
8450,_,_,_,_,_,_,_,_,_,0
8451,Y,_,_,_,X,_,_,_,_,2
8452,X,Y,X,_,Y,_,Y,_,_,7
8453,X,Y,Y,Y,Y,X,X,_,_,7
8454,X,Y,X,_,Y,_,Y,_,_,7
8455,Y,_,Y,_,X,_,_,_,_,1
8456,Y,X,Y,Y,X,_,X,Y,_,5
8457,_,_,Y,_,_,_,_,_,_,0
8458,Y,Y,X,_,X,_,Y,_,_,3
8459,X,_,Y,Y,Y,_,X,_,_,5
8460,X,_,Y,Y,Y,_,X,_,_,5
8461,X,_,_,_,Y,X,Y,_,_,2
8462,X,X,Y,Y,Y,X,X,_,Y,7
8463,X,_,Y,Y,Y,_,X,_,_,5
8464,X,_,Y,Y,Y,_,X,_,_,5
8465,Y,_,Y,_,X,_,_,_,_,1
8466,_,_,_,_,Y,_,_,_,_,0
8467,_,_,_,_,Y,_,_,_,_,0
8468,X,_,_,Y,Y,_,X,_,_,1
8469,Y,_,_,_,_,_,_,_,_,4
8470,_,_,_,_,_,_,_,_,_,0
8471,_,_,_,_,_,_,_,_,_,0
8472,_,_,_,X,Y,_,_,_,_,0
8473,X,_,Y,Y,Y,X,X,X,Y,1
8474,Y,X,X,X,X,Y,Y,Y,_,8
8475,Y,X,X,_,Y,Y,X,Y,X,3
8476,X,_,Y,_,Y,_,_,_,_,6
8477,X,Y,_,_,_,_,Y,_,_,4
8478,Y,_,X,X,X,Y,Y,_,_,1
8479,X,Y,_,Y,Y,_,_,X,_,5
8480,Y,X,Y,X,X,Y,_,Y,_,8
8481,_,_,_,_,_,_,_,_,_,0
8482,X,_,_,Y,Y,_,_,_,_,5
8483,Y,X,Y,_,X,Y,_,_,_,7
8484,X,Y,_,_,Y,_,_,_,_,7
8485,Y,_,_,_,X,_,_,_,_,2
8486,Y,X,_,_,X,_,_,Y,_,6
8487,Y,_,X,X,X,Y,Y,_,_,1
8488,Y,_,X,X,X,Y,Y,_,_,1
8489,Y,_,_,X,X,Y,_,_,_,1
8490,X,_,Y,Y,Y,_,X,_,_,5
8491,X,_,Y,_,_,_,_,Y,_,4
8492,Y,_,_,X,X,Y,_,_,_,1
8493,Y,_,_,_,_,_,_,_,_,4
8494,X,_,Y,_,X,_,Y,_,Y,5
8495,X,_,_,_,Y,X,Y,_,_,2
8496,X,Y,X,_,Y,Y,_,X,_,3
8497,X,_,_,_,Y,_,_,_,_,2
8498,Y,_,_,X,X,Y,Y,_,_,7
8499,X,_,_,Y,Y,_,X,_,_,1
8500,Y,_,_,X,X,Y,_,_,_,1
8501,Y,_,X,X,X,Y,Y,_,_,1
8502,_,_,_,_,Y,_,_,_,_,0
8503,X,_,Y,Y,Y,X,_,_,_,6
8504,X,Y,Y,Y,Y,X,X,_,_,7
8505,_,_,X,_,Y,_,_,_,Y,0
8506,_,_,_,_,_,_,_,_,_,0
8507,Y,_,Y,_,X,_,_,_,_,1
8508,X,_,_,_,X,Y,Y,_,Y,1
8509,X,Y,X,X,Y,_,Y,_,_,7
8510,_,X,_,_,Y,_,_,_,_,0
8511,Y,X,Y,_,X,_,X,Y,_,5
8512,_,_,_,_,_,_,_,Y,_,0
8513,Y,_,X,X,X,Y,Y,_,_,1
8514,X,Y,X,_,Y,_,_,_,_,3
8515,X,Y,X,_,Y,_,_,_,_,3
8516,Y,_,_,_,X,_,_,_,_,2
8517,Y,X,Y,_,X,_,_,Y,_,3
8518,X,Y,X,_,Y,_,_,_,_,3
8519,X,X,Y,_,Y,_,_,_,_,6
